type,queue,priority,language,tag_1,tag_2
Request,Technical Support,medium,en,Security,Product
Request,Technical Support,high,de,IT,Tech Support
Incident,Technical Support,medium,de,Technical,Bug
Change,Returns and Exchanges,low,en,Product,Feature
Incident,Billing and Payments,low,de,Security,IT
Incident,Technical Support,high,de,Technical,Campaign
Problem,Technical Support,high,en,Bug,Security
Problem,Technical Support,high,en,Security,Outage
Request,Technical Support,medium,de,Feature,Feedback
Problem,IT Support,high,en,Crash,Hardware
Change,Sales and Pre-Sales,high,en,Feature,Documentation
Change,Product Support,high,en,Technical,Customer
Problem,Billing and Payments,high,en,Security,Breach
Request,Sales and Pre-Sales,medium,en,Security,IT
Change,Service Outages and Maintenance,high,de,Technical,Performance
Request,Billing and Payments,low,de,Billing,Product
Problem,Technical Support,low,en,Security,Virus
Request,Customer Service,low,de,Feature,Documentation
Incident,Product Support,high,en,Feedback,Performance
Incident,Technical Support,high,en,Bug,Performance
Change,IT Support,low,en,Technical,Product
Request,Customer Service,low,en,Security,Compliance
Incident,Service Outages and Maintenance,medium,en,Outage,Security
Request,Billing and Payments,low,en,Technical,Product
Request,Technical Support,medium,de,Feature,Documentation
Problem,Billing and Payments,low,en,Billing,Account
Request,Customer Service,medium,de,Security,IT
Incident,Technical Support,high,en,Security,IT
Request,Technical Support,high,de,Security,Documentation
Problem,Billing and Payments,high,de,Billing,Account
Problem,Technical Support,medium,de,Technical,Customer
Incident,Technical Support,high,en,Crash,Outage
Request,Returns and Exchanges,high,en,Technical,Performance
Incident,Service Outages and Maintenance,high,en,Outage,Disruption
Problem,Returns and Exchanges,medium,en,Feature,Documentation
Problem,Billing and Payments,high,en,Product,Bug
Request,Technical Support,high,en,Customer,Strategy
Request,Returns and Exchanges,medium,en,Feature,Feedback
Request,Technical Support,high,en,Technical,Customer
Incident,Customer Service,medium,de,Technical,Bug
Incident,Product Support,high,en,Performance,Network
Problem,Billing and Payments,medium,en,Billing,Refund
Request,General Inquiry,medium,en,Feedback,Sales
Request,Technical Support,high,en,Security,Network
Incident,Product Support,low,en,Performance,Bug
Incident,Technical Support,high,en,Technical,Security
Problem,Technical Support,medium,en,Security,Breach
Incident,Technical Support,high,de,Technical,Bug
Problem,IT Support,high,de,Technical,Security
Request,Customer Service,medium,en,Security,Compliance
Incident,Technical Support,high,de,Technical,Customer
Incident,Technical Support,high,de,Network,Crash
Change,IT Support,high,en,Security,Compliance
Request,Technical Support,high,en,Feature,IT
Change,Product Support,medium,de,Technical,Security
Request,Technical Support,high,de,Feedback,Documentation
Problem,Product Support,medium,en,Security,Breach
Request,Customer Service,medium,en,Technical,Specifications
Request,Human Resources,low,en,HR,Training
Problem,Customer Service,low,de,Bug,Performance
Change,Returns and Exchanges,high,en,Sales,Marketing
Problem,Product Support,high,en,Network,Performance
Request,Customer Service,medium,de,Feedback,Sales
Request,IT Support,high,de,Feature,Documentation
Change,Technical Support,medium,de,Product,Feedback
Incident,Technical Support,medium,en,Technical,Performance
Incident,General Inquiry,low,de,Technical,Feedback
Change,Sales and Pre-Sales,low,en,Feature,Product
Problem,IT Support,high,en,Bug,Performance
Problem,Technical Support,high,en,Technical,Website
Request,Returns and Exchanges,high,en,Documentation,Feature
Change,Customer Service,low,en,Technical,Security
Request,Technical Support,high,en,Documentation,Feature
Request,Billing and Payments,high,de,Documentation,Security
Change,Customer Service,medium,en,Security,Performance
Problem,Technical Support,medium,de,Bug,Product
Change,Customer Service,medium,en,Security,Compliance
Problem,Technical Support,medium,en,Bug,Performance
Request,Billing and Payments,medium,en,Technical,Documentation
Problem,Technical Support,medium,en,Feedback,Performance
Incident,Customer Service,low,en,Technical,Bug
Incident,Sales and Pre-Sales,high,de,Network,Disruption
Problem,IT Support,medium,de,Security,IT
Request,Technical Support,medium,en,Feedback,IT
Incident,Technical Support,high,en,Bug,Performance
Incident,Technical Support,high,en,Technical,Bug
Problem,Product Support,high,de,Technical,Customer
Problem,Returns and Exchanges,high,de,Security,Bug
Request,Technical Support,medium,de,Documentation,IT
Incident,Technical Support,high,en,Technical,Bug
Incident,Customer Service,medium,de,Technical,Product
Incident,Returns and Exchanges,medium,de,Technical,Outage
Request,Product Support,medium,de,Feedback,Sales
Request,Billing and Payments,medium,de,Sales,Feedback
Change,Product Support,medium,en,Security,Feedback
Request,Billing and Payments,medium,de,Feedback,Product
Request,Returns and Exchanges,low,de,Customer,Strategy
Incident,Technical Support,low,en,Bug,Security
Incident,Technical Support,low,de,Bug,Performance
Change,General Inquiry,low,en,Technical,Integration
Incident,Product Support,high,en,Technical,Customer
Problem,Technical Support,medium,de,Network,Performance
Request,Sales and Pre-Sales,low,en,Product,Sales
Request,Returns and Exchanges,medium,de,Customer,Product
Problem,Technical Support,medium,de,Security,IT
Incident,Technical Support,medium,en,Performance,IT
Request,Sales and Pre-Sales,medium,en,Customer,Inquiry
Change,Service Outages and Maintenance,low,en,Maintenance,Performance
Request,Customer Service,medium,de,Feature,Product
Incident,Product Support,low,de,Technical,Network
Incident,IT Support,medium,en,Login,Security
Incident,Technical Support,high,de,Disruption,Outage
Request,Customer Service,low,en,Security,Medical
Request,Returns and Exchanges,low,en,Customer,Product
Incident,IT Support,high,en,Performance,Outage
Problem,Sales and Pre-Sales,high,de,Bug,Security
Request,Technical Support,high,en,Security,Documentation
Request,Billing and Payments,medium,en,Feedback,Sales
Problem,Product Support,medium,en,Technical,Security
Incident,Product Support,high,en,Breach,Security
Request,Customer Service,high,en,Digital,Strategy
Request,Technical Support,medium,de,Growth,Strategy
Problem,Billing and Payments,medium,en,Billing,Payment
Incident,Human Resources,high,de,Feedback,IT
Request,Billing and Payments,medium,de,Billing,Product
Problem,Technical Support,high,en,Security,Incident
Incident,Technical Support,medium,de,Bug,Tech Support
Request,Sales and Pre-Sales,medium,en,Feature,Feedback
Incident,Technical Support,high,de,Customer,Disruption
Request,IT Support,high,en,Feature,Feedback
Problem,Product Support,medium,en,Bug,Hardware
Request,IT Support,medium,de,Technical,Product
Request,Product Support,low,en,Technical,Product
Request,Technical Support,medium,en,Feature,Documentation
Request,Returns and Exchanges,low,en,Customer,Marketing
Change,Product Support,high,en,Technical,Integration
Incident,Sales and Pre-Sales,medium,de,Crash,Tool
Request,Customer Service,medium,en,Technical,Customer
Problem,Product Support,high,de,Bug,Performance
Request,Technical Support,medium,de,Technical,Product
Incident,Product Support,high,en,Bug,Performance
Incident,Human Resources,medium,en,Bug,Performance
Request,Customer Service,medium,de,Feature,Documentation
Incident,Technical Support,low,en,Technical,Website
Request,Billing and Payments,high,en,Billing,Payment
Incident,Returns and Exchanges,high,de,Technical,Docker
Incident,Human Resources,medium,en,Technical,Integration
Request,IT Support,medium,en,Feature,Feedback
Change,Human Resources,low,en,Security,IT
Change,General Inquiry,low,en,Security,Encryption
Problem,Customer Service,medium,en,Performance,Tech Support
Request,Product Support,medium,en,Feature,Feedback
Request,Customer Service,high,en,Technical,Product
Incident,Returns and Exchanges,high,de,Feedback,Product
Change,Technical Support,low,en,Security,Compliance
Incident,Product Support,high,en,Crash,Dashboard
Request,Product Support,low,de,Feature,Documentation
Request,Billing and Payments,high,en,Security,IT
Incident,Technical Support,low,de,"Technical,Customer,Product,Feedback,Bug,Documentation,Resolution",None
Incident,General Inquiry,low,de,Technical,Security
Problem,Customer Service,low,en,Performance,Network
Change,Product Support,medium,de,Feature,Feedback
Request,Product Support,low,de,Customer,Product
Incident,Technical Support,high,de,Technical,Crash
Request,Customer Service,low,de,Feedback,Sales
Problem,Billing and Payments,medium,en,Billing,Customer
Incident,Billing and Payments,medium,en,Billing,Customer
Request,Customer Service,medium,en,Feedback,IT
Request,Customer Service,medium,en,Customer,Strategy
Request,Product Support,medium,en,Technical,Product
Request,Customer Service,high,de,Documentation,Tech Support
Request,Human Resources,medium,en,Feedback,Sales
Incident,Returns and Exchanges,low,en,Feature,Bug
Request,IT Support,medium,en,Technical,Product
Incident,Product Support,low,en,Bug,Performance
Problem,Billing and Payments,medium,en,Security,Billing
Incident,Technical Support,medium,en,Technical,Analytics
Change,Customer Service,medium,en,Marketing,Campaign
Problem,Technical Support,low,de,Technical,Security
Request,Product Support,medium,de,Compliance,Documentation
Problem,Technical Support,high,de,Performance,Outage
Incident,Technical Support,high,en,Technical,Website
Request,Customer Service,low,en,Feedback,Sales
Request,Customer Service,high,de,Security,Documentation
Request,Sales and Pre-Sales,high,de,Security,Backup
Incident,IT Support,high,de,Outage,Disruption
Incident,Technical Support,low,en,Bug,Crash
Request,Product Support,high,de,Feedback,Feature
Request,Billing and Payments,medium,de,Security,Breach
Change,Product Support,high,de,Feedback,Sales
Incident,Technical Support,low,de,Technical,Customer
Incident,Product Support,low,en,Security,Bug
Incident,Customer Service,low,en,Bug,Crash
Problem,IT Support,medium,en,Security,Breach
Request,Customer Service,medium,en,Technical,Integration
Incident,Product Support,medium,en,Bug,Performance
Incident,Customer Service,low,en,Technical,Bug
Request,Product Support,low,en,Feedback,Sales
Incident,Customer Service,high,de,Technical,Bug
Problem,IT Support,medium,en,Bug,Performance
Incident,Service Outages and Maintenance,high,de,Crash,Bug
Request,Technical Support,low,en,Documentation,Feature
Request,Service Outages and Maintenance,high,en,Feature,Feedback
Change,IT Support,medium,en,Product,Guidance
Request,Customer Service,medium,en,Security,Documentation
Change,Billing and Payments,medium,en,Billing,Account
Request,Billing and Payments,low,en,Billing,Payment
Request,Billing and Payments,medium,en,Customer,Product
Incident,Product Support,high,en,Technical,Campaign
Incident,Customer Service,low,de,Security,Breach
Request,Customer Service,high,en,Security,Guidance
Problem,Billing and Payments,medium,en,Security,IT
Problem,Product Support,medium,en,Bug,Crash
Request,Technical Support,medium,en,Feature,Performance
Request,Technical Support,medium,en,Technical,Product
Problem,Technical Support,high,de,Technical,Bug
Incident,Technical Support,high,en,Crash,Technical
Change,IT Support,medium,en,Product,Feature
Incident,Customer Service,medium,en,Feedback,Performance
Change,Returns and Exchanges,low,en,Feedback,Sales
Incident,Billing and Payments,high,de,Billing,Customer
Request,Technical Support,high,de,Technical,Security
Request,Product Support,low,en,Product,Analytics
Incident,IT Support,low,en,Technical,Hardware
Problem,Technical Support,low,en,Performance,Hardware
Request,Customer Service,high,en,General,Marketing
Change,Returns and Exchanges,medium,en,Feedback,Sales
Request,Billing and Payments,medium,de,Feedback,Sales
Incident,Technical Support,high,en,Technical,Network
Incident,Product Support,high,en,Technical,Bug
Request,IT Support,medium,en,Security,Documentation
Request,Billing and Payments,medium,en,Billing,Payment
Request,Customer Service,low,en,Security,Encryption
Problem,Customer Service,low,en,Technical,Integration
Problem,Technical Support,medium,en,Bug,Performance
Request,Customer Service,low,en,Security,Network
Problem,Technical Support,low,en,Bug,Performance
Problem,Product Support,low,en,Technical,Security
Incident,Technical Support,high,de,Outage,Crash
Request,Technical Support,high,en,Guidance,Strategy
Request,Billing and Payments,medium,en,Customer,Strategy
Request,Product Support,medium,de,Technical,Customer
Incident,Technical Support,low,de,Security,Breach
Request,Customer Service,low,de,Product,Analytics
Request,Technical Support,high,de,Feedback,Sales
Incident,Sales and Pre-Sales,low,en,Technical,Outage
Request,Human Resources,low,en,Technical,Customer
Request,Billing and Payments,medium,en,Customer,Product
Request,Customer Service,medium,en,Security,IT
Request,Billing and Payments,medium,de,Security,Documentation
Request,Billing and Payments,high,en,Feature,Product
Request,Technical Support,medium,en,Technical,Product
Request,Billing and Payments,high,en,Security,Documentation
Request,Human Resources,medium,en,Security,IT
Incident,IT Support,medium,en,Technical,Product
Incident,Customer Service,medium,en,Technical,Bug
Incident,IT Support,high,en,Crash,Technical
Incident,Customer Service,low,en,Technical,Bug
Problem,Technical Support,high,en,Bug,Performance
Incident,Returns and Exchanges,low,en,Bug,Performance
Incident,Sales and Pre-Sales,low,de,Technical,Customer
Incident,Product Support,low,en,Security,Virus
Request,IT Support,high,en,Security,Compliance
Request,Product Support,low,en,Feature,IT
Incident,Technical Support,high,de,Technical,Bug
Problem,Technical Support,high,en,Security,Breach
Incident,Technical Support,high,de,Technical,Bug
Problem,Product Support,high,de,Bug,Performance
Incident,Technical Support,high,de,Technical,Analytics
Request,Product Support,medium,de,Technical,Product
Problem,IT Support,high,en,Bug,Performance
Request,Technical Support,low,de,Feature,Feedback
Request,Customer Service,medium,en,Feedback,Sales
Incident,Technical Support,high,en,Technical,Product
Request,Billing and Payments,high,de,Billing,Payment
Change,Customer Service,low,en,Security,IT
Incident,IT Support,high,de,Bug,Performance
Incident,Service Outages and Maintenance,medium,de,Technical,Network
Change,Technical Support,high,en,Feature,Feedback
Problem,IT Support,high,en,Technical,Network
Incident,Technical Support,high,de,Bug,Performance
Incident,Technical Support,high,en,Crash,Outage
Incident,Billing and Payments,low,en,Billing,Payment
Incident,Service Outages and Maintenance,high,en,Technical,Bug
Problem,Product Support,high,de,Technical,Training
Request,Technical Support,low,en,Customer,Strategy
Request,Technical Support,medium,en,Security,Breach
Incident,Service Outages and Maintenance,high,en,Outage,Technical
Problem,IT Support,medium,en,Bug,Crash
Change,IT Support,medium,en,Technical,Product
Incident,Technical Support,high,en,Technical,Outage
Change,Product Support,high,de,Feature,Feedback
Incident,Technical Support,medium,en,Network,Disruption
Request,Technical Support,medium,en,Security,Documentation
Request,Billing and Payments,medium,en,Feature,Documentation
Incident,Billing and Payments,high,en,Billing,Payment
Request,Product Support,medium,en,Feedback,Security
Incident,Product Support,low,en,Technical,Bug
Change,IT Support,low,en,Technical,Integration
Incident,Technical Support,high,en,Outage,Disruption
Request,Billing and Payments,high,en,Security,Backup
Request,IT Support,medium,de,Feedback,Feature
Problem,Technical Support,high,en,Performance,Network
Incident,Billing and Payments,medium,de,Billing,Customer
Problem,Billing and Payments,high,de,Billing,Bug
Incident,Technical Support,low,en,Login,Bug
Incident,Product Support,high,de,Performance,Disruption
Incident,IT Support,high,en,Technical,Bug
Incident,Product Support,low,de,Technical,Bug
Request,Customer Service,medium,en,Technical,Software
Request,Customer Service,medium,de,Security,IT
Request,Customer Service,medium,en,Feature,Documentation
Problem,Billing and Payments,medium,de,Bug,Account
Request,Product Support,medium,en,Technical,Product
Request,Sales and Pre-Sales,medium,en,Security,IT
Request,IT Support,medium,en,Feature,Feedback
Change,Sales and Pre-Sales,low,de,Sales,Feedback
Incident,Customer Service,medium,en,Technical,Bug
Problem,Technical Support,medium,de,Technical,Billing
Request,Technical Support,medium,en,Feature,Documentation
Request,Customer Service,medium,en,Security,IT
Change,Service Outages and Maintenance,high,de,Technical,Customer
Problem,IT Support,low,de,Technical,Bug
Problem,Technical Support,high,en,Crash,Technical
Incident,Service Outages and Maintenance,high,en,Outage,Disruption
Problem,IT Support,medium,en,Network,Performance
Change,Technical Support,high,en,Performance,Product
Incident,Technical Support,high,en,Security,IT
Incident,Technical Support,medium,en,Security,IT
Problem,Customer Service,medium,en,Bug,Performance
Request,Customer Service,medium,en,Documentation,Feature
Incident,Product Support,high,en,Performance,Outage
Problem,IT Support,high,en,Bug,Crash
Problem,General Inquiry,low,en,Feedback,Sales
Request,Customer Service,medium,en,Technical,Documentation
Incident,Product Support,low,de,Technical,Bug
Request,Billing and Payments,low,en,Technical,Integration
Request,Sales and Pre-Sales,low,de,Digital,Sales
Problem,Product Support,high,en,Technical,Marketing
Incident,Product Support,high,de,Bug,Performance
Request,Technical Support,low,de,Customer,Product
Problem,Product Support,high,en,Bug,Performance
Change,Technical Support,medium,en,Technical,Integration
Request,Billing and Payments,low,en,Security,IT
Problem,Product Support,medium,en,Technical,Network
Change,Product Support,high,de,Feedback,Sales
Request,Customer Service,medium,en,Product,Financial
Request,Technical Support,low,en,Security,Guidance
Request,Human Resources,medium,en,Product,Feature
Request,Customer Service,medium,en,Feedback,Sales
Request,Technical Support,low,en,Customer,Feedback
Incident,Service Outages and Maintenance,high,en,Outage,Technical
Request,Technical Support,medium,en,Security,Technical
Incident,Returns and Exchanges,medium,en,Bug,Performance
Change,Billing and Payments,low,en,Security,Technical
Incident,Technical Support,high,en,Feedback,Performance
Request,Product Support,low,de,Feedback,Documentation
Incident,Product Support,high,de,Technical,Network
Incident,Product Support,high,en,Bug,Performance
Problem,Product Support,medium,en,Campaign,Performance
Change,Customer Service,medium,en,Technical,Guidance
Change,Returns and Exchanges,low,en,Feedback,Sales
Incident,IT Support,medium,en,Security,Network
Problem,Product Support,medium,en,Technical,Sync
Incident,Customer Service,low,de,Login,Maintenance
Request,Product Support,medium,de,Documentation,Feature
Incident,Technical Support,low,en,Performance,Network
Incident,Customer Service,low,en,Feedback,Performance
Incident,Service Outages and Maintenance,high,en,Breach,Security
Change,Product Support,medium,en,Feature,Feedback
Request,Returns and Exchanges,medium,en,Feedback,Sales
Problem,Human Resources,low,en,Technical,Collaboration
Incident,Service Outages and Maintenance,high,de,Outage,Disruption
Request,Product Support,high,en,Security,IT
Problem,Returns and Exchanges,medium,de,Performance,Network
Incident,IT Support,medium,en,Outage,Disruption
Problem,Customer Service,medium,en,Technical,Integration
Problem,Technical Support,low,en,Bug,Performance
Incident,Technical Support,high,de,Outage,Incident
Problem,Product Support,high,de,Technical,Bug
Problem,Product Support,high,de,Technical,Bug
Request,Customer Service,low,de,Product,Technical
Request,Product Support,medium,en,Technical,Product
Request,Product Support,high,en,Feedback,Product
Incident,Customer Service,low,de,Network,Performance
Request,Billing and Payments,medium,en,Billing,Product
Incident,Technical Support,high,en,Login,Bug
Incident,Product Support,medium,en,Backup,Hardware
Incident,IT Support,high,de,Bug,Performance
Request,IT Support,medium,de,Technical,Security
Incident,Product Support,low,en,Feedback,Performance
Request,Service Outages and Maintenance,high,de,Feedback,Sales
Request,Customer Service,high,de,Security,IT
Request,Technical Support,high,en,Technical,Product
Incident,IT Support,high,en,Performance,Network
Incident,Customer Service,medium,de,Bug,Network
Incident,Technical Support,high,en,Bug,Crash
Incident,Technical Support,high,en,Security,Bug
Request,Billing and Payments,medium,de,Billing,Customer
Request,IT Support,high,en,Feature,Documentation
Request,Customer Service,low,en,Technical,Guidance
Incident,Technical Support,medium,en,Security,IT
Problem,Product Support,low,en,Technical,Bug
Request,Technical Support,low,en,Technical,Product
Incident,Technical Support,low,de,Bug,Performance
Incident,Returns and Exchanges,high,en,Security,Virus
Incident,Product Support,high,en,Technical,Network
Problem,Technical Support,high,en,Crash,Technical
Incident,Technical Support,high,en,Technical,Integration
Request,Customer Service,medium,de,IT,Tech Support
Incident,Product Support,high,de,Crash,Performance
Change,Customer Service,high,en,Feature,Performance
Request,Technical Support,high,en,Security,IT
Incident,Technical Support,high,en,Security,Bug
Incident,Billing and Payments,low,en,Technical,Medical
Change,Customer Service,medium,en,IT,Tech Support
Request,Product Support,medium,de,Security,Breach
Problem,Product Support,low,de,Technical,Bug
Request,Sales and Pre-Sales,high,de,Technical,Investment
Request,Customer Service,low,en,Security,Documentation
Request,Human Resources,medium,de,Security,Compliance
Incident,Technical Support,medium,de,Technical,Bug
Request,Technical Support,high,en,Feedback,IT
Problem,Product Support,high,de,Security,Breach
Incident,Technical Support,high,de,Technical,Product
Request,Customer Service,medium,en,Onboarding,Guidance
Change,Billing and Payments,high,en,Billing,Payment
Incident,General Inquiry,low,en,Technical,Security
Request,Billing and Payments,high,en,Billing,Payment
Request,Technical Support,high,en,Performance,Documentation
Request,Customer Service,low,en,Customer,Strategy
Request,Product Support,high,en,Security,Feedback
Incident,Product Support,high,en,Security,Network
Incident,Technical Support,high,de,Bug,Performance
Change,Product Support,medium,en,Feedback,Sales
Request,IT Support,high,de,Marketing,Campaign
Incident,IT Support,medium,en,Technical,Product
Request,Customer Service,low,en,Customer,Guidance
Incident,Product Support,high,de,Feedback,Performance
Incident,Technical Support,high,en,Bug,Performance
Problem,Billing and Payments,high,en,Billing,Customer
Incident,Product Support,low,de,Technical,Tool
Request,Customer Service,low,en,Feedback,IT
Request,Billing and Payments,medium,de,Security,Compliance
Incident,Product Support,low,en,Security,IT
Change,Product Support,medium,en,Product,Feedback
Incident,Customer Service,medium,de,Technical,Customer
Incident,Customer Service,medium,de,Performance,Feedback
Incident,Customer Service,medium,en,Security,Notification
Incident,Technical Support,high,en,Network,Performance
Incident,Technical Support,high,en,Security,Virus
Incident,Billing and Payments,medium,en,Billing,Payment
Request,Customer Service,medium,en,Technical,Product
Request,Technical Support,low,de,Feature,Documentation
Problem,IT Support,low,en,Security,Bug
Request,Billing and Payments,low,de,Feedback,Feature
Request,Customer Service,low,en,Product,Integration
Request,Customer Service,medium,de,Feature,Documentation
Request,Customer Service,medium,en,Technical,Product
Problem,Technical Support,high,en,Technical,Bug
Change,IT Support,medium,de,Security,Breach
Request,Technical Support,medium,en,Feature,Documentation
Request,Customer Service,medium,en,Technical,Customer
Incident,Customer Service,medium,de,Customer,Outage
Request,IT Support,high,de,Technical,Customer
Incident,Technical Support,low,en,Technical,Crash
Request,Billing and Payments,low,en,Billing,Payment
Incident,Technical Support,high,de,Customer,Campaign
Incident,Technical Support,low,en,Network,Performance
Incident,IT Support,high,de,Technical,Bug
Incident,IT Support,medium,en,Network,Performance
Incident,Technical Support,medium,en,Security,Virus
Problem,Customer Service,medium,de,Performance,Bug
Problem,Billing and Payments,medium,en,Security,Virus
Problem,Product Support,medium,de,Bug,Performance
Incident,Technical Support,high,de,Technical,Customer
Problem,IT Support,medium,en,Security,Bug
Incident,IT Support,high,de,Crash,Performance
Request,Technical Support,high,en,Technical,Documentation
Request,Billing and Payments,medium,en,Customer,Guidance
Problem,Product Support,high,en,Technical,Security
Incident,Technical Support,high,en,Crash,Security
Incident,Technical Support,medium,de,Technical,Bug
Request,Sales and Pre-Sales,medium,en,Technical,Product
Incident,Customer Service,high,de,Technical,Integration
Incident,Technical Support,high,en,Technical,Bug
Change,Service Outages and Maintenance,high,en,Feedback,Sales
Request,Billing and Payments,medium,de,Billing,Account
Problem,Technical Support,high,en,Performance,Network
Request,Service Outages and Maintenance,high,en,Feedback,Performance
Incident,Product Support,high,de,Technical,Bug
Request,Customer Service,medium,de,Sales,Customer
Incident,Customer Service,low,en,Login,Maintenance
Request,Technical Support,medium,en,Technical,Integration
Incident,IT Support,medium,en,Security,Virus
Request,Technical Support,medium,de,Feedback,Sales
Request,Human Resources,medium,en,Feedback,Sales
Incident,Technical Support,medium,en,Outage,Disruption
Problem,Technical Support,high,en,Security,IT
Incident,Returns and Exchanges,medium,en,Bug,Performance
Incident,Technical Support,high,de,Security,Network
Request,Technical Support,medium,en,Customer,Sales
Request,Customer Service,low,en,Technical,Integration
Incident,Technical Support,high,de,Bug,Performance
Request,Billing and Payments,medium,de,Feature,Documentation
Incident,Billing and Payments,high,en,Billing,Payment
Incident,Billing and Payments,medium,en,Billing,Refund
Incident,Product Support,medium,en,Technical,Network
Request,Customer Service,medium,en,Technical,Integration
Incident,Technical Support,high,de,Crash,System
Incident,Billing and Payments,medium,en,Bug,Billing
Request,Technical Support,high,de,Security,Customer
Request,Technical Support,high,en,Feedback,Sales
Request,IT Support,high,en,Feedback,Sales
Incident,Product Support,low,en,Performance,Feedback
Change,Product Support,high,en,Feature,Feedback
Request,Billing and Payments,high,en,Billing,Product
Request,Billing and Payments,medium,en,Sales,Feedback
Incident,Customer Service,high,de,Network,Performance
Change,IT Support,high,de,Feature,Feedback
Incident,Technical Support,high,en,Performance,Bug
Problem,Technical Support,high,en,Bug,Performance
Request,Billing and Payments,medium,de,Billing,Product
Problem,Technical Support,high,en,Security,Bug
Request,Customer Service,medium,de,Technical,Security
Incident,IT Support,high,de,Tech Support,Performance
Incident,Technical Support,high,en,Outage,Bug
Incident,Technical Support,low,de,Security,IT
Incident,Technical Support,high,de,Technical,Bug
Request,Returns and Exchanges,low,de,Technical,Product
Change,IT Support,high,en,Feature,Performance
Request,Customer Service,medium,en,Security,Product
Incident,IT Support,medium,en,Technical,CRM
Request,Technical Support,high,de,Customer,Marketing
Problem,Technical Support,high,en,Security,Breach
Problem,IT Support,high,de,Technical,Bug
Request,Technical Support,high,en,Feature,Documentation
Incident,IT Support,medium,en,Technical,Crash
Change,Technical Support,medium,en,Customer,Marketing
Problem,Returns and Exchanges,low,de,Customer,Branding
Request,Customer Service,medium,en,Technical,Customer
Problem,Customer Service,medium,en,Login,Performance
Problem,Technical Support,low,en,Technical,Integration
Problem,Technical Support,medium,de,Network,Performance
Problem,Human Resources,low,en,Security,Network
Request,Customer Service,medium,de,Product,Feature
Incident,Technical Support,high,en,Technical,Security
Change,Product Support,high,en,Technical,Guidance
Request,Technical Support,high,de,Technical,Integration
Incident,Product Support,low,de,Technical,Customer
Request,Customer Service,low,en,Security,IT
Request,IT Support,low,en,Feedback,Feature
Problem,Returns and Exchanges,medium,en,Feedback,Performance
Request,Customer Service,medium,en,Technical,Product
Incident,Technical Support,low,de,Security,Virus
